도서관명,주소,위도,경도,카테고리_대,카테고리_소
도봉기적의도서관,서울특별시 도봉구 마들로 797,37.68080449,127.0501336,도서관,도서관
도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,37.64477544,127.0438644,도서관,도서관
도봉아이나라도서관,서울특별시 도봉구 노해로 69길 151,37.65904725,127.0495075,도서관,도서관
둘리도서관,서울특별시 도봉구 시루봉로1길 6,37.65243153,127.0276397,도서관,도서관
서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로 556,37.65253218,127.0127628,도서관,도서관
쌍문채움도서관,서울특별시 도봉구 우이천로 340,37.6441856,127.0294746,도서관,도서관
원당마을한옥도서관,서울특별시 도봉구 해등로32가길 17 (방학동),37.66029179,127.0217983,도서관,도서관
학마을도서관,서울특별시 도봉구 시루봉로 128,37.6621577,127.0278303,도서관,도서관
동대문구답십리도서관,서울특별시 동대문구 서울시립대로4길 75,37.57319319,127.0503606,도서관,도서관
동대문구정보화도서관,서울특별시 동대문구 회기로10길 60,37.58996904,127.0472892,도서관,도서관
동대문책마당도서관,서울특별시 동대문구 천호대로 145,37.57439172,127.0398966,도서관,도서관
배봉산 숲속도서관,서울특별시 동대문구 전농로16길 97,37.5784361,127.0605702,도서관,도서관
서울특별시교육청동대문도서관,서울특별시 동대문구 천호대로4길 22,37.57348736,127.0247655,도서관,도서관
용두어린이영어도서관,서울특별시 동대문구 무학로 133 용두어린이 영어도서관,37.57610826,127.030319,도서관,도서관
장안어린이도서관,서울특별시 동대문구 장한로26다길 10 (장안동) ,37.57124499,127.073201,도서관,도서관
제기동감초마을현진건기념도서관,서울특별시 동대문구 약령시로9길 45,37.58509082,127.0351175,도서관,도서관
휘경어린이도서관,서울특별시 동대문구 망우로18가길 38,37.58868538,127.0606088,도서관,도서관
휘경행복도서관,서울특별시 동대문구 장안벚꽃로 323 (휘경동),37.58717428,127.069939,도서관,도서관
구립김영삼도서관,서울특별시 동작구 매봉로 1(상도1동 611),37.50547361,126.9499672,도서관,도서관
그리심 작은도서관,서울특별시 동작구 사당로259,37.48375136,126.9763835,도서관,도서관
까망돌도서관,서울특별시 동작구 서달로 129(흑석동 340-1),37.50512021,126.960611,도서관,도서관
대방어린이도서관,서울특별시 동작구 대방동길55(대방동379-2),37.51310982,126.9311477,도서관,도서관
동작영어마루도서관,서울특별시 동작구 장승배기로 16길 98(노량진 2동 225-161),37.50919685,126.9434278,도서관,도서관
사당솔밭도서관,서울특별시 동작구 솔밭로 86,37.48408051,126.9673502,도서관,도서관
서울특별시교육청동작도서관,서울특별시 동작구 장승배기로 94,37.50596898,126.9401028,도서관,도서관
신대방누리도서관,서울특별시 동작구 신대방1다길 19(신대방동 686-78),37.48606517,126.9058854,도서관,도서관
약수도서관,서울특별시 동작구 양녕로22바길 64(상도동),37.4978869,126.9474565,도서관,도서관
마포구립서강도서관,서울특별시 마포구 독막로 165,37.54773525,126.9320621,도서관,도서관
마포중앙도서관,서울특별시 마포구 성산로 128(성산동),37.56379606,126.9082023,도서관,도서관
마포푸르메어린이도서관,서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원 1층,37.58464747,126.8805204,도서관,도서관
서울특별시교육청마포평생학습관,서울특별시 마포구 홍익로2길 16,37.5543221,126.9242045,도서관,도서관
서울특별시교육청마포평생학습관아현분관,서울특별시 마포구 마포대로 224,37.55416693,126.9573466,도서관,도서관
소금나루도서관,서울특별시 숭문길 72,37.5495243,126.946234,도서관,도서관
남가좌새롬어린이도서관,서울특별시 서대문구 증가로10길 16-15,37.5783399,126.9240451,도서관,도서관
서대문구립이진아기념도서관,서울특별시 서대문구 독립문공원길 80,37.57295407,126.9555492,도서관,도서관
서울특별시교육청서대문도서관,서울특별시 서대문구 모래내로 412,37.58331954,126.9408583,도서관,도서관
홍은도담도서관,서울특별시 서대문구 홍은중앙로 129,37.60177311,126.9489548,도서관,도서관
방배도서관,서울특별시 서초구 방배로 40,37.4784386,126.9999959,도서관,도서관
서이도서관,서울특별시 서초구 서초대로70길 51,37.49206882,127.0249474,도서관,도서관
서초구립내곡도서관,서울특별시 서초구 청계산로7길 9-20,37.45200429,127.054445,도서관,도서관
서초구립반포도서관,서울특별시 서초구 고무래로 34,37.50248627,127.0125127,도서관,도서관
서초구립방배숲환경도서관,서울특별시 서초구 서초대로 160-7 방배동,37.48896525,127.0001162,도서관,도서관
서초구립양재도서관,서울특별시 서초구 양재천로 33,37.47367918,127.0335724,도서관,도서관
서초그림책도서관,서울특별시 서초구 명달로 150,37.49060375,127.0050971,도서관,도서관
서초청소년도서관,서울특별시 서초구 효령로77길 37,37.49229472,127.028158,도서관,도서관
잠원도서관,서울특별시 서초구 나루터로 38,37.51496828,127.0139817,도서관,도서관
성동구립금호도서관,서울특별시 성동구 난계로 20,37.55413024,127.0248941,도서관,도서관
성동구립도서관,서울특별시 성동구 고산자로10길 9,37.55918517,127.0349643,도서관,도서관
성동구립매봉산숲속도서관,서울특별시 성동구 매봉길 49-29,37.545907,127.0108117,도서관,도서관
성동구립무지개도서관,서울특별시 성동구 고산자로 270,37.56342271,127.0369648,도서관,도서관
성동구립성수도서관,서울특별시 성동구 뚝섬로1길 43,37.54542874,127.0469481,도서관,도서관
성동구립용답도서관,서울특별시 성동구 용답중앙3길 10,37.56670257,127.0513055,도서관,도서관
성동구립청계도서관,서울특별시 성동구 마장로 141,37.56395923,127.0358722,도서관,도서관
글빛도서관,서울특별시 성북구 길음로7길 20,37.60375521,127.0222037,도서관,도서관
달빛마루도서관,서울특별시 성북구 종암로 167 104동 2층,37.60505817,127.0309905,도서관,도서관
보문숲길도서관,서울시 성북구 보문사길 20,37.58492213,127.0161721,도서관,도서관
석관동미리내도서관,서울특별시 성북구 한천로66길 203,37.61347396,127.0654922,도서관,도서관
성북길빛도서관,서울특별시 성북구 숭인로8길 52,37.60995927,127.0264414,도서관,도서관
성북정보도서관,서울특별시 성북구 화랑로18자길 13,37.60497334,127.0505857,도서관,도서관
아리랑도서관,서울특별시 성북구 아리랑로 82,37.60005917,127.0139264,도서관,도서관
아리랑어린이도서관,서울특별시 성북구 아리랑로 75,37.59882719,127.0136237,도서관,도서관
월곡꿈그림도서관,서울특별시 성북구 화랑로13길 17 월곡꿈그림도서관,37.60477383,127.0406257,도서관,도서관
장위행복누림도서관,서울특별시 성북구 장위로21다길53,37.6157898,127.0435886,도서관,도서관
정릉도서관,서울특별시 성북구 정릉로 242,37.60474095,127.0105829,도서관,도서관
종암동새날도서관,서울특별시 성북구 종암로 98-8,37.5990314,127.035222,도서관,도서관
청수도서관,서울특별시 성북구 보국문로16가길 20,37.61175536,127.0107763,도서관,도서관
해오름도서관,서울특별시 성북구 성북로4길 52,37.59558967,127.0121197,도서관,도서관
가락몰도서관,서울특별시 송파구 양재대로 932 서울시농수산식품공사 가락몰 업무동 4층,37.49467422,127.1086491,도서관,도서관
거마도서관,서울특별시 송파구 거마로2길19,37.4935326,127.146824,도서관,도서관
돌마리도서관,서울특별시 송파구 백제고분로 37길 16,37.50356529,127.1036861,도서관,도서관
서울특별시교육청송파도서관,서울특별시 송파구 동남로 263,37.49999503,127.1348515,도서관,도서관
소나무언덕2호도서관,서울특별시 송파구 석촌호수로 155 잠실3동 자치회관 2관 2층,37.5072682,127.0942189,도서관,도서관
소나무언덕3호도서관,서울특별시 송파구 성내천로 319 4층,37.49233228,127.1566451,도서관,도서관
소나무언덕잠실본동도서관,"서울특별시 송파구 탄천동로 205 (잠실빗물펌프장 관사동 1,2층)",37.50309253,127.0788491,도서관,도서관
송파글마루도서관,서울특별시 송파구 충민로 120,37.4808353,127.1304785,도서관,도서관
송파어린이도서관,서울특별시 송파구 올림픽로 105 (잠실동 19-6),37.51210257,127.0823945,도서관,도서관
송파어린이영어도서관,서울특별시 송파구 오금로 1(신천동) 신천빗물펌프장 4~5층,37.5223926,127.102983,도서관,도서관
송파위례도서관,"서울특별시 송파구 장지동 위례광장로 210 위례동복합청사 4, 5층",37.48116507,127.1439372,도서관,도서관
지샘터올림픽공원도서관,서울특별시 송파구 올림픽로 424(방이동) 스포츠비즈홀 1층,37.51225244,127.1135035,도서관,도서관
갈산도서관,서울특별시 양천구 목동남로4길 48-6,37.50886171,126.8673116,도서관,도서관
개울건강도서관,서울특별시 양천구 중앙로52길 56,37.52597157,126.8565997,도서관,도서관
목마교육도서관,서울특별시 양천구 목동서로 41 목5동주민센터,37.54250898,126.8721113,도서관,도서관
미감도서관,서울특별시 양천구 목동중앙남로 57-10(목동) 목사랑시장고객주차장 및 공유센터 3층,37.53896815,126.8654892,도서관,도서관
방아다리문학도서관,서울특별시 양천구 화곡로4길 10,37.53858309,126.8271748,도서관,도서관
서울특별시교육청양천도서관,서울특별시 양천구 목동서로 113,37.53349939,126.8757691,도서관,도서관
신월음악도서관,서울특별시 양천구 오목로5길 34,37.5246975,126.8400821,도서관,도서관
양천중앙도서관,서울특별시 양천구 신정로7길 81,37.51372539,126.8338175,도서관,도서관
영어특성화도서관,서울특별시 양천구 목동동로 81 해누리타운 7층 양천영어도서관 및 영어체험센터,37.5159767,126.8638554,도서관,도서관
해맞이역사도서관,서울특별시 양천구 지양로 37,37.51907269,126.8356052,도서관,도서관
대림도서관,서울특별시 영등포구 도신로 27,37.50431669,126.8960768,도서관,도서관
문래도서관,서울특별시 영등포구 문래로20길 49,37.51685383,126.8908928,도서관,도서관
서울특별시교육청영등포평생학습관,서울특별시 영등포구 버드나루로15길 10,37.52580934,126.9071819,도서관,도서관
선유도서관,서울특별시 영등포구 선유로43가길 10-8,37.53333762,126.8929418,도서관,도서관
여의샛강도서관,서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동,37.52217929,126.9199164,도서관,도서관
영등포생각공장도서관,서울특별시 영등포구 문래북로 105 영등포구어울림센터 지상1~3층,37.52012124,126.8971957,도서관,도서관
서울특별시교육청남산도서관,서울특별시 용산구 소월로 109,37.55255227,126.9821555,도서관,도서관
서울특별시교육청용산도서관,서울특별시 용산구 두텁바위로 160,37.55200494,126.9801399,도서관,도서관
용산꿈나무도서관,"서울특별시 용산구 백범로329(원효로1가, 꿈나무타운) 3층",37.54189105,126.9684171,도서관,도서관
청파도서관,서울특별시 용산구 청파로93길 27(서계동) 1층,37.55278347,126.9675304,도서관,도서관
구산동도서관마을,서울특별시 은평구 연서로 13길 29-23,37.60950609,126.9130867,도서관,도서관
내를건너서숲으로도서관,서울특별시 은평구 증산로17길 50,37.59169634,126.908048,도서관,도서관
상림도서관,서울특별시 은평구 진관4로 48-25 공원관리사무실 내,37.64421437,126.9289416,도서관,도서관
은뜨락도서관,서울특별시 은평구 통일로 972,37.63013936,126.9199312,도서관,도서관
은평구립도서관,서울특별시 은평구 통일로78가길 13-84,37.61897708,126.9282714,도서관,도서관
은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.63722997,126.9331171,도서관,도서관
응암정보도서관,"서울특별시 은평구 가좌로 179, 2층~3층",37.58596642,126.9196809,도서관,도서관
증산정보도서관,서울특별시 은평구 증산로5길 6,37.58280957,126.9076717,도서관,도서관
4.19혁명기념도서관,서울특별시 종로구 새문안로 17,37.5675109,126.9655318,도서관,도서관
라이브러리피치,"서울특별시 종로구 대학로10길 8 (동숭동), 리브랩 B1-2층",37.58157827,127.0026179,도서관,도서관
서울특별시교육청어린이도서관,서울특별시 종로구 사직로9길 7,37.57607257,126.9683689,도서관,도서관
서울특별시교육청정독도서관,서울특별시 종로구 북촌로5길 48,37.58103147,126.983694,도서관,도서관
서울특별시교육청종로도서관,서울특별시 종로구 사직로9길 15-14,37.5764504,126.9664672,도서관,도서관
아름꿈도서관,서울특별시 종로구 종로58가길 19,37.57261854,127.0169671,도서관,도서관
어린이청소년 국학도서관,서울특별시 종로구 명륜길 26,37.5885021,126.9932172,도서관,도서관
제3의시간,"서울특별시 종로구 대학로10길 8 (동숭동), 리브랩 3-5층",37.58157827,127.0026179,도서관,도서관
청운문학도서관,서울특별시 종로구 자하문로36길 40,37.59037936,126.9659196,도서관,도서관
가온도서관,서울특별시 중구 동호로14길 18,37.5563848,127.0108371,도서관,도서관
남산타운어린이도서관,서울특별시 중구 다산로 32,37.54949484,127.0088734,도서관,도서관
다산성곽도서관,서울특별시 중구 동호로17길 173,37.55163335,127.0043894,도서관,도서관
손기정문화도서관,서울특별시 중구 손기정로 101-3,37.55592073,126.9645377,도서관,도서관
손기정어린이도서관,서울특별시 중구 손기정로 101,37.5551209,126.9625541,도서관,도서관
신당누리도서관,서울특별시 중구 다산로 33길 3 1층 ,37.56201888,127.014445,도서관,도서관
어울림도서관,서울특별시 중구 다산로38길 66-35,37.56171915,127.0189284,도서관,도서관
한국학생공공도서관대학문화원(구한국학생도서관),서울특별시 중구 동호로27길 30,37.56070426,127.0021513,도서관,도서관
양원숲속도서관,서울특별시 중랑구 송림길 172(망우동),37.60266318,127.1039257,도서관,도서관
중랑구립면목정보도서관,서울특별시 중랑구 면목로 397(면목동),37.58735398,127.0875542,도서관,도서관
중랑구립정보도서관,서울특별시 중랑구 신내로15길 197(묵동),37.61517065,127.0869063,도서관,도서관
중랑상봉도서관,서울특별시 중랑구 동일로114길 10(상봉동),37.5930958,127.0787114,도서관,도서관
중랑숲어린이도서관,서울특별시 중랑구 망우로73길 46-1(망우동),37.60266318,127.1039257,도서관,도서관
중화어린이도서관,서울특별시 중랑구 중랑역로3길 28(중화동),37.59504537,127.0747092,도서관,도서관
